symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
HYMCL,16.05,0.05,0.73,2022-02-22,2022-03-29,34
BE,15.97,2.67,42.65,2019-10-24,2021-02-08,473
CRMLW,15.96,0.04,0.64,2022-10-24,2025-02-05,835
INTZ,15.96,0.36,5.68,2024-12-23,2024-12-30,7
TGTX,15.96,3.44,54.9,2018-12-24,2020-12-21,728
AZTA,15.94,7.78,124.04,2016-02-09,2021-11-08,2099
JYD,15.94,0.5,7.97,2024-07-05,2025-04-01,270
AREC,15.91,0.46,7.32,2020-02-25,2021-02-09,350
NITO,15.89,0.17,2.64,2024-12-18,2025-01-03,16
HWM,15.89,10.46,166.24,2020-04-21,2025-05-19,1854
MARPS,15.89,0.75,11.85,2020-05-15,2022-03-08,662
MSGM,15.88,2.33,37.0,2022-12-27,2023-02-01,36
ONEW,15.88,3.84,60.97,2020-03-18,2021-12-31,653
ORGO,15.87,9.45,150.0,2017-12-11,2019-01-11,396
NOVT,15.87,11.73,186.2,2016-02-05,2024-07-16,3083
APT,15.83,1.57,24.86,2016-01-07,2020-08-03,1669
LINC,15.83,1.37,21.69,2016-06-23,2025-05-16,3249
SID,15.83,0.45,7.13,2016-01-20,2021-05-11,1937
CTNT,15.82,14.93,236.16,2023-11-01,2024-05-20,201
TRNS,15.8,9.12,144.07,2016-02-12,2024-07-22,3082
ATEC,15.8,1.19,18.8,2019-02-07,2023-07-13,1616
WSM,15.75,13.76,216.68,2020-03-18,2025-02-18,1798
FCX,15.75,3.43,53.96,2016-01-13,2024-05-20,3049
WLFC,15.74,14.65,230.64,2020-05-15,2024-11-07,1637
GOTU,15.73,9.07,142.7,2019-07-10,2021-01-27,567
SMR,15.73,1.92,30.21,2024-01-18,2024-11-22,309
HONDW,15.73,0.08,1.29,2024-10-23,2025-05-13,202
SCNI,15.72,325.0,5110.0,2016-11-23,2020-07-13,1327
CSWI,15.71,27.46,431.32,2016-02-22,2024-11-25,3199
SUPV,15.69,1.21,18.94,2022-07-20,2025-01-10,905
BCC,15.67,9.7,151.98,2016-02-18,2024-11-25,3203
GDEN,15.67,3.45,54.1,2020-03-20,2022-04-01,742
APPN,15.67,15.01,235.24,2017-05-25,2021-01-27,1343
BILI,15.65,9.99,156.37,2018-05-04,2021-02-10,1013
CVE,15.59,1.48,22.99,2020-03-18,2022-06-07,811
ONFOW,15.57,0.02,0.33,2024-03-06,2024-12-19,288
IDYA,15.55,3.03,47.13,2020-03-17,2024-02-16,1431
APVO,15.55,5063.08,78730.08,2020-04-03,2020-11-11,222
RGEN,15.49,20.93,324.21,2016-02-08,2021-09-23,2053
IBP,15.47,17.21,266.23,2016-01-19,2024-07-31,3115
CPRT,15.47,4.13,63.84,2016-01-21,2025-05-16,3402
LSF,15.46,0.65,10.05,2023-05-31,2024-12-04,553
BBAI,15.46,0.63,9.78,2022-12-29,2025-02-13,777
