symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
CAR,45.91,7.4,339.54,2020-03-18,2021-11-02,594,3834894080.0,Rental & Leasing Services
ELP,45.13,0.22,9.91,2016-01-21,2023-12-27,2897,6337432576.0,Utilities - Regulated Electric
ABLLW,44.9,0.04,1.85,2022-12-06,2025-05-13,888,,
FFAI,44.89,1.6,72.0,2024-05-02,2024-05-20,18,107385080.0,Auto Manufacturers
ICUCW,44.86,0.01,0.35,2023-09-22,2024-02-20,151,,Biotechnology
QSIAW,44.79,0.05,2.15,2024-11-12,2025-01-03,52,,Medical Devices
BW,44.62,0.23,10.08,2019-04-04,2021-11-17,958,72376136.0,Specialty Industrial Machinery
FTEL,44.19,0.88,38.89,2024-01-12,2024-06-26,165,11110718.0,Specialty Retail
HOV,44.13,5.4,238.3,2019-08-12,2024-08-22,1837,535200960.0,Residential Construction
HOLO,43.95,1208.0,53088.0,2024-02-06,2024-02-16,10,30458420.0,Electronic Components
CXAIW,43.86,0.01,0.57,2022-11-04,2023-06-20,228,,
GFAIW,43.74,0.02,0.77,2022-12-20,2025-01-07,749,,Security & Protection Services
CODX,43.26,0.71,30.8,2019-06-24,2020-08-03,406,8596687.0,Medical Devices
DAVE,43.13,4.54,196.04,2023-05-19,2025-05-20,732,2584035328.0,Software - Application
NINE,43.03,0.38,16.35,2020-03-18,2023-01-13,1031,21436862.0,Oil & Gas Equipment & Services
TPST,42.48,2.99,127.01,2023-10-09,2023-10-11,2,23180898.0,Biotechnology
IBRX,42.29,1.0,42.25,2019-06-10,2021-02-22,623,2338943232.0,Biotechnology
BNAIW,42.09,0.01,0.24,2022-11-23,2024-03-18,480,,Software - Infrastructure
LPA,41.75,6.2,258.85,2024-03-22,2024-05-30,69,211553184.0,Real Estate - Development
BLFS,41.72,1.45,60.5,2016-11-08,2021-09-01,1757,1050626944.0,Medical Instruments & Supplies
GBR,41.65,0.6,25.0,2020-03-18,2021-01-28,316,4618737.0,Real Estate Services
DXLG,41.63,0.21,8.85,2020-12-21,2021-11-17,331,54595396.0,Apparel Retail
MGNI,41.48,1.49,61.8,2018-03-01,2021-02-11,1078,2188631808.0,Advertising Agencies
PFH,41.22,0.53,21.7,2020-05-18,2021-12-22,583,,
NUTX,40.83,4.34,177.21,2024-07-09,2025-05-20,315,940599936.0,Medical Care Facilities
KULR,40.75,0.12,4.8,2024-02-08,2024-12-26,322,355174528.0,Electronic Components
TGLS,40.57,2.16,87.5,2020-03-23,2025-05-13,1877,3989323776.0,Building Materials
GYRE,40.56,0.73,29.68,2022-05-13,2023-12-22,588,913607360.0,Biotechnology
HROW,40.48,1.42,57.48,2017-11-02,2024-10-18,2542,980980288.0,Drug Manufacturers - Specialty & Generic
CABA,40.34,0.63,25.38,2022-09-23,2024-02-08,503,91083864.0,Biotechnology
NISN,40.33,5.95,239.9,2018-12-21,2021-01-06,747,20872866.0,Specialty Business Services
QBTS,40.15,0.41,16.56,2023-05-12,2025-05-20,739,4488053760.0,Computer Hardware
NCTY,39.85,20.8,828.9,2020-10-29,2021-02-19,113,162420720.0,Capital Markets
INDO,39.68,1.55,61.5,2020-03-18,2022-03-07,719,35331400.0,Oil & Gas E&P
ASPN,39.54,1.61,63.66,2018-12-26,2021-11-18,1058,500442112.0,Building Products & Equipment
DAC,39.52,2.37,93.63,2020-03-20,2022-03-17,727,1573792000.0,Marine Shipping
MRNA,39.52,12.26,484.47,2019-08-05,2021-08-09,735,9977944064.0,Biotechnology
ACRS,39.46,0.75,29.6,2020-03-18,2021-04-07,385,139682480.0,Biotechnology
FTAI,39.43,4.41,174.02,2020-03-18,2024-11-21,1709,11744712704.0,Rental & Leasing Services
TOON,39.43,2.01,79.3,2019-12-20,2020-06-03,165,39085688.0,Entertainment
BIAFW,39.22,0.05,2.0,2023-10-09,2024-10-04,361,,Diagnostics & Research
ANET,39.19,3.31,129.82,2016-02-09,2025-01-22,3270,116084686848.0,Computer Hardware
BTU,39.15,0.8,31.5,2020-11-10,2022-04-14,519,1698291072.0,Thermal Coal
CNR,38.93,3.42,133.14,2020-03-31,2024-11-25,1700,3749399040.0,Thermal Coal
SOL,38.91,0.86,33.55,2019-08-15,2021-01-22,526,82627776.0,Solar
PYPD,38.54,0.2,7.74,2023-09-19,2024-01-05,108,28636428.0,Biotechnology
ATGL,38.52,1.22,47.0,2024-09-13,2025-02-20,160,434445376.0,Software - Infrastructure
CLSK,38.47,1.05,40.39,2020-04-02,2021-01-07,280,2840343808.0,Capital Markets
VCEL,37.99,1.78,67.81,2016-02-11,2021-06-28,1963,2067586944.0,Biotechnology
BFRIW,37.96,0.0,0.19,2023-12-19,2024-10-31,316,,Drug Manufacturers - Specialty & Generic
NVCR,37.91,5.95,225.58,2016-11-01,2021-06-23,1695,1978876544.0,Medical Devices
RVP,37.72,0.57,21.5,2017-08-24,2021-02-01,1257,18752662.0,Medical Instruments & Supplies
NUKK,37.48,1.39,52.1,2024-12-13,2024-12-19,6,109021752.0,Software - Application
CLDX,36.3,1.55,56.27,2020-03-20,2021-10-04,563,1324564352.0,Biotechnology
MNPR,35.86,1.45,51.89,2023-11-20,2025-02-10,448,217456880.0,Biotechnology
KNW,35.75,0.09,3.06,2025-01-29,2025-03-05,35,3834000.0,Scientific & Technical Instruments
SE,35.49,10.34,366.99,2018-05-09,2021-10-19,1259,96653172736.0,Internet Retail
ESEA,35.47,1.37,48.63,2020-03-18,2024-10-02,1659,272907456.0,Marine Shipping
CBAT,35.31,0.32,11.3,2018-12-26,2020-11-16,691,76988384.0,Electrical Equipment & Parts
BXC,35.2,3.74,131.66,2020-04-03,2024-11-25,1697,530188480.0,Industrial Distribution
IVDAW,35.14,0.02,0.7,2022-12-09,2023-01-20,42,,Security & Protection Services
BNTX,35.07,12.63,442.9,2019-10-14,2021-08-09,665,23820539904.0,Biotechnology
LTM,34.96,1.06,36.88,2020-05-28,2025-05-20,1818,11156385792.0,Airlines
CORT,34.82,3.28,114.22,2016-01-28,2025-03-31,3349,8038211072.0,Biotechnology
