symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
PENN,30.19,4.52,136.47,2020-03-18,2021-03-15,362,2144228352.0,Resorts & Casinos
ELF,29.86,7.3,218.0,2019-02-27,2024-06-27,1946,4458873344.0,Household & Personal Products
RH,29.45,25.08,738.52,2017-02-07,2021-08-12,1646,3663294720.0,Specialty Retail
FICO,29.43,80.94,2382.4,2016-01-21,2024-11-26,3232,41574162432.0,Software - Application
DDS,28.23,18.01,508.42,2020-04-22,2025-02-19,1764,6307859968.0,Department Stores
WING,28.11,15.2,427.32,2016-02-09,2024-06-18,3051,8998127616.0,Restaurants
IESC,27.74,11.4,316.26,2016-06-24,2025-01-22,3134,4886168064.0,Engineering & Construction
CLF,27.7,1.19,33.07,2016-01-12,2022-03-28,2266,3462592000.0,Steel
VRT,27.65,5.55,153.42,2020-03-18,2025-01-23,1772,39486287872.0,Electrical Equipment & Parts
LNW,27.55,4.09,112.68,2020-03-18,2024-09-18,1645,6957859328.0,Gambling
AVGO,27.41,9.07,248.6,2016-02-11,2024-12-16,3231,1080178966528.0,Semiconductors
NTRA,26.78,6.61,177.0,2016-02-08,2025-02-05,3285,20630886400.0,Diagnostics & Research
ARES,26.67,7.38,196.72,2016-01-15,2025-01-31,3304,51919368192.0,Asset Management
LPLA,26.49,14.55,385.37,2016-02-12,2025-05-19,3383,30226814976.0,Capital Markets
QXO,26.09,9.03,235.61,2020-04-03,2024-06-10,1529,8848663552.0,Software - Application
KRYS,26.09,8.19,213.66,2017-12-19,2024-07-26,2410,3660887296.0,Biotechnology
ROKU,25.82,18.57,479.5,2017-10-26,2021-07-26,1369,10201947136.0,Entertainment
POWL,25.62,13.72,351.53,2020-03-18,2024-11-11,1699,2105900928.0,Electrical Equipment & Parts
TEAM,25.57,17.92,458.13,2016-02-08,2021-10-29,2089,54908379136.0,Software - Application
SOUN,25.09,0.97,24.23,2022-12-22,2024-12-26,735,3804421120.0,Software - Application
NOW,24.83,47.14,1170.39,2016-02-08,2025-01-28,3277,210038079488.0,Software - Application
EAT,24.82,7.62,189.14,2020-03-18,2025-02-03,1783,6395193856.0,Restaurants
COOP,24.81,5.41,134.21,2020-04-03,2025-04-04,1827,8030167552.0,Mortgage Finance
PAYC,24.59,22.17,545.23,2016-02-09,2021-11-02,2092,14410502144.0,Software - Application
ANF,24.55,7.84,192.34,2017-07-12,2024-06-12,2527,3459038720.0,Apparel Retail
TT,24.46,17.61,430.81,2018-12-24,2025-05-19,2337,94751424512.0,Building Products & Equipment
RRC,24.09,1.71,41.19,2020-03-12,2025-01-16,1771,9396457472.0,Oil & Gas E&P
FTNT,24.04,4.77,114.57,2016-02-11,2025-02-19,3296,78715379712.0,Software - Infrastructure
FIX,23.75,23.12,549.04,2016-02-08,2025-01-22,3271,16411600896.0,Engineering & Construction
ENVA,23.44,4.97,116.49,2016-01-19,2025-02-06,3306,2344399616.0,Credit Services
APPF,23.32,11.58,270.02,2016-03-04,2024-07-23,3062,7428737024.0,Software - Application
SPXC,23.31,7.79,181.56,2016-01-12,2024-11-25,3240,7106846208.0,Building Products & Equipment
CWST,23.28,5.17,120.37,2016-02-05,2025-05-06,3377,7276079104.0,Waste Management
TECK,23.08,2.35,54.13,2016-01-13,2024-05-20,3049,17694048256.0,Other Industrial Metals & Mining
